,Latitude,Wind Speed
0,-9.8,5.44
1,43.65,2.91
2,-22.57,3.6
3,-54.81,7.7
4,64.86,2.51
5,39.95,4.6
6,-17.12,7.2
7,-23.12,8.34
8,31.34,3.46
9,71.64,4.36
10,-33.02,6.7
11,-22.97,7.7
12,60.79,5.1
13,-20.21,1.0
14,6.8,2.1
15,3.07,3.49
16,-33.64,5.71
17,-2.02,3.64
18,-42.78,7.7
19,12.41,1.71
20,-46.19,8.36
21,39.31,9.8
22,-33.69,5.39
23,24.63,4.1
24,15.34,1.24
25,-34.42,1.11
26,68.54,1.79
27,34.42,3.6
28,17.52,2.6
29,35.73,1.0
30,-2.88,1.51
31,70.62,1.74
32,10.57,4.19
33,-0.6,2.14
34,11.0,4.54
35,-33.21,3.31
36,65.61,1.29
37,-53.16,5.1
38,0.05,1.14
39,30.04,7.2
40,0.07,2.96
41,-33.59,9.19
42,-18.06,4.36
43,-34.53,1.0
44,42.65,8.7
45,69.44,4.1
46,62.45,3.6
47,-20.63,3.84
48,6.4,2.06
49,24.8,4.71
50,-42.48,8.36
51,52.47,5.1
52,21.44,4.1
53,63.44,4.1
54,-46.13,12.14
55,59.7,5.0
56,70.03,6.51
57,-23.58,2.64
58,15.46,2.26
59,65.28,1.5
60,-6.09,4.76
61,54.51,3.86
62,51.89,7.2
63,62.91,6.7
64,53.86,4.06
65,43.37,1.46
66,10.24,6.7
67,-20.46,4.1
68,-16.45,5.1
69,-21.21,7.2
70,18.19,3.76
71,16.97,2.6
72,8.0,0.16
73,-42.88,7.7
74,69.7,3.46
75,33.0,1.84
76,-6.12,0.94
77,-10.62,5.31
78,-30.17,4.49
79,-45.87,6.2
80,-21.64,7.2
81,10.49,1.56
82,-20.56,4.61
83,22.08,5.1
84,9.54,4.49
85,60.91,10.8
86,-33.93,1.0
87,45.62,2.6
88,-34.67,0.5
89,-38.38,5.44
90,63.84,14.4
91,-38.31,5.44
92,-46.28,11.66
93,-39.03,1.5
94,71.97,1.84
95,46.45,1.16
96,-0.74,5.7
97,37.72,4.1
98,-13.71,5.1
99,39.41,4.6
100,20.2,2.84
101,11.28,1.5
102,-1.93,0.59
103,14.88,1.44
104,41.05,1.11
105,62.23,6.7
106,35.3,4.29
107,36.9,4.1
